pitch,roll,label
13,-41,1
13,-39,1
13,-38,1
13,-37,1
13,-35,1
13,-33,1
13,-31,1
13,-29,1
14,-27,1
14,-25,1
14,-24,1
15,-23,1
15,-22,1
15,-22,1
15,-23,1
15,-25,1
15,-27,1
14,-28,1
14,-30,1
13,-31,1
13,-32,1
13,-34,1
13,-35,1
12,-36,1
12,-37,1
12,-37,1
11,-38,1
11,-38,1
11,-38,1
11,-38,1
11,-37,1
11,-36,1
11,-35,1
11,-33,1
11,-32,1
11,-31,1
12,-29,1
12,-28,1
12,-26,1
13,-25,1
13,-24,1
13,-23,1
13,-23,1
14,-23,1
14,-24,1
15,-25,1
15,-26,1
15,-27,1
14,-28,1
13,-30,1
12,-31,1
11,-33,1
11,-34,1
11,-35,1
10,-35,1
10,-36,1
9,-37,1
9,-37,1
9,-36,1
9,-36,1
9,-35,1
9,-34,1
9,-32,1
9,-30,1
10,-28,1
11,-27,1
12,-26,1
13,-25,1
14,-25,1
15,-25,1
15,-25,1
15,-26,1
15,-26,1
15,-27,1
15,-29,1
15,-30,1
14,-31,1
14,-32,1
13,-33,1
13,-33,1
12,-34,1
11,-34,1
10,-34,1
10,-34,1
10,-34,1
10,-34,1
9,-34,1
9,-33,1
8,-33,1
8,-32,1
9,-30,1
9,-29,1
10,-27,1
10,-25,1
11,-24,1
